circle_id	transcript_ids	num_reads	min_length	max_length	single	double	undefined
2_189791790_189818180	NM_001128144,NM_001128143,NM_000534,NR_110332,NM_001289408,NM_001289409	5	315	601	4	0	1
2_207976651_207977586	NM_001080475	5	935	935	5	0	0
2_214767482_214781509	NM_000465,NM_001282543,NR_104216,NR_104212,NR_104215	4	253	1203	1	0	3
2_61522611_61533903	NM_003400	4	306	306	3	0	1
3_142736379_142748460	NM_003304,NM_001251845	12	357	459	11	1	0
3_158122103_158123991	NM_001271838,NM_001271834,NM_016625	8	321	321	5	3	0
3_49967470_49975392	NM_005777	7	1438	1438	4	0	3
3_56660731_56673725	NM_001112736,NM_015224	8	819	1036	5	0	3
3_8935871_8941804	NM_020165	4	622	622	4	0	0
4_1225360_1241519	NM_001328,NM_001012614	5	506	701	3	0	2
4_152411303_152412529	NM_033632,NM_001257069	7	569	619	2	0	5
4_177353308_177360677	NM_018248	8	595	595	4	0	4
4_185247294_185267155	NM_031953	4	661	661	2	0	2
4_186706563_186709845	NM_005245	14	3282	3282	11	0	3
4_1900626_1904378	NM_007331,NM_133330,NM_133331,NM_133334,NM_133335,NM_001042424	4	788	788	3	0	1
4_87046166_87047594	NM_005935,NM_001166693	5	1020	1020	5	0	0
4_87195324_87195690	NM_001292006,NM_001292007,NM_020803,NR_120447,NM_001292003	5	366	366	4	1	0
5_123545417_123557564	NM_004384,NM_001270573,NM_001031812,NM_001270572,NM_001044723	5	111	535	2	0	3
5_168488602_168494650	NM_002887	7	533	533	6	1	0
5_178885614_178931326	NM_030613	4	522	522	2	0	2
5_180261684_180280608	NM_001135044,NM_139068,NM_139069,NM_139070,NM_002752,NM_001308244	5	496	496	4	0	1
5_50399107_50411383	NM_198449	13	953	953	5	3	5
5_65567513_65572286	NM_015342,NM_001278927,NM_001278926,NM_001278929	5	599	772	2	0	3
5_69174877_69175537	NM_031966	4	377	377	1	3	0
5_74813840_74841679	NM_015566,NR_046462	6	500	672	6	0	0
5_79439010_79457018	NM_001277077,NM_004272,NM_001277078	5	289	521	5	0	0
5_94643273_94654752	NM_032290	5	723	723	4	0	1
6_158282263_158314268	NM_020245,NM_001007466	4	1609	1609	3	0	1
6_158312051_158314268	NM_020245,NM_001007466	31	1609	1609	21	3	7
6_18236452_18258405	NM_003472,NM_001134709	9	799	901	6	0	3
6_47283938_47286595	NM_014452	6	1146	1146	4	0	2
6_4891713_4892379	NR_026590,NM_001143970,NM_001143971,NM_004824	27	666	666	27	0	0
6_79042843_79060818	NM_017934	7	410	410	4	0	3
7_100023419_100024307	NM_003439,NM_001287054	16	577	667	15	1	0
7_122113118_122133741	NM_005763	5	1292	1292	4	0	1
7_127373342_127377329	NM_176814	9	1836	1836	9	0	0
7_135577796_135593192	NM_015135	4	1181	1181	4	0	0
7_24623666_24668660	NM_001303037,NM_016447	6	1115	1115	3	0	3
7_39987599_40002031	NM_031267,NM_003718	9	1141	1141	7	1	1
8_127890589_127890998	NR_003367	5	371	371	4	1	0
8_18765449_18804898	NM_015310,NM_206909	6	537	537	2	0	4
9_135881633_135883078	NM_015447	24	424	424	23	1	0
9_83678441_83686155	NM_053067,NM_013438	5	689	689	5	0	0
9_85669485_85712566	NM_015239,NM_001286717,NM_001286715	5	629	694	0	0	5
9_92256680_92269983	NM_002161,NM_013417,NR_073446	5	931	931	5	0	0
X_131743096_131794466	NR_026975	13	845	845	9	0	4
X_131749306_131785258	NR_026975	4	701	701	4	0	0
X_131749306_131794466	NR_026975	48	844	844	32	2	14
X_140783175_140784659	NM_004065	28	1299	1299	28	0	0
X_14843660_14859334	NM_152633,NM_001018113	4	1535	1535	3	0	1
X_85247547_85270146	NM_021998	6	1133	1133	5	1	0
