Transcript	circles	same_start	same_end	overlapping	within
NM_014915	10:27022558-27048979,10:27037186-27048979	.	10:27037186-27048979|10:27022558-27048979,	.	.
NM_014916	7:98190728-98194572	.	.	.	.
NM_001267595	12:48083591-48098124	.	.	.	.
NM_032825	19:36626130-36627546	.	.	.	.
NM_001163418	5:93776159-94053227	.	.	.	.
NM_019054	10:87151350-87158155	.	.	.	.
NM_001163417	5:93776159-94053227	.	.	.	.
NM_019053	10:92893349-92909631	.	.	.	.
NM_001035	1:237369534-237445522	.	.	.	.
NM_001042692	2:63433745-63439871	.	.	.	.
NM_001308160	14:71045133-71076419	.	.	.	.
NM_016075	13:52416017-52427219	.	.	.	.
NM_205846	5:145796442-145826200	.	.	.	.
NM_206866	21:29321221-29329693,21:29326059-29329693	.	21:29326059-29329693|21:29321221-29329693,	.	.
NM_004136	15:78488647-78497311	.	.	.	.
NM_001455	6:108663455-108664889	.	.	.	.
NM_001328	4:1225360-1241519	.	.	.	.
NM_001301007	11:94799390-94800311	.	.	.	.
NM_001146032	5:73058433-73077493	.	.	.	.
NM_007118	5:14286871-14304592,5:14290716-14336727	.	.	5:14290716-14336727|5:14286871-14304592,	.
NM_017613	21:33583488-33586181	.	.	.	.
NM_001012957	1:231795242-231818517	.	.	.	.
NM_001201477	16:47109483-47129364,16:47109483-47132025	16:47109483-47132025|16:47109483-47129364,	.	.	.
NM_001267783	11:46433474-46435037	.	.	.	.
NM_001012959	1:231795242-231818517	.	.	.	.
NM_199190	12:50427762-50437838,12:50427762-50441643	12:50427762-50441643|12:50427762-50437838,	.	.	.
NM_001199400	4:169580842-169590809	.	.	.	.
NM_138794	1:219193130-219218712	.	.	.	.
NM_178234	8:15650697-15673836	.	.	.	.
NM_001253875	2:106122970-106166083	.	.	.	.
NM_001253876	2:106122970-106166083	.	.	.	.
NM_001199398	4:169580842-169590809	.	.	.	.
NM_001199399	4:169580842-169590809	.	.	.	.
NM_001146112	1:66946150-66963160	.	.	.	.
NM_000141	10:121564502-121565704	.	.	.	.
NM_007200	15:85521428-85543955	.	.	.	.
NM_006930	5:134157707-134174022	.	.	.	.
NM_007203	9:110136127-110138539	.	.	.	.
NM_001199397	4:169580842-169590809	.	.	.	.
NM_173500	15:42827928-42840433	.	.	.	.
NM_001206801	12:118019072-118028030	.	.	.	.
NM_001100590	4:6804523-6824684	.	.	.	.
NM_173082	6:145888020-145894977	.	.	.	.
NM_017580	10:124940374-124943307,10:124942457-124943307	.	10:124942457-124943307|10:124940374-124943307,	.	.
NM_001145036	1:230663141-230675124	.	.	.	.
NM_025112	3:126459653-126472305	.	.	.	.
NM_198889	4:73085249-73092300,4:73090667-73092300,4:73118688-73125312	.	4:73085249-73092300|4:73090667-73092300,	.	.
NM_003368	1:62443159-62448666,1:62444738-62447511,1:62444738-62448666	1:62444738-62447511|1:62444738-62448666,	1:62443159-62448666|1:62444738-62448666,	.	1:62443159-62448666|1:62444738-62447511,
NM_001024649	5:179705679-179710065	.	.	.	.
NR_109981	7:117099762-117131960	.	.	.	.
NM_002766	17:76312870-76313891	.	.	.	.
NM_002767	17:18865469-18889877	.	.	.	.
NM_001193534	4:15625252-15644708	.	.	.	.
NM_001193535	4:15625252-15644708	.	.	.	.
NM_002161	9:92256680-92269983	.	.	.	.
NM_001199868	10:130145211-130166980	.	.	.	.
NM_175610	15:29761139-29773357	.	.	.	.
NM_001199865	20:16370586-16381747	.	.	.	.
NM_001199866	20:16370586-16381747	.	.	.	.
NM_001080541	15:41668828-41669958,15:41696075-41699159,15:41696075-41713496	15:41696075-41713496|15:41696075-41699159,	.	.	.
NM_004555	16:68121987-68123121,16:68121987-68126610	16:68121987-68123121|16:68121987-68126610,	.	.	.
NM_207303	10:115120185-115165645,10:115120185-115171292	10:115120185-115165645|10:115120185-115171292,	.	.	.
NM_001281768	7:45648670-45662214	.	.	.	.
NM_014109	8:123333878-123337821	.	.	.	.
NM_024570	13:50927407-50949505	.	.	.	.
NR_120409	9:76067955-76107351	.	.	.	.
NM_015342	5:65567513-65572286	.	.	.	.
NM_001271922	15:84680713-84691644	.	.	.	.
NM_001271920	15:84680713-84691644	.	.	.	.
NM_001271921	15:84680713-84691644	.	.	.	.
NM_014743	4:6804523-6824684	.	.	.	.
NM_001278716	6:98880553-98927822	.	.	.	.
NM_005233	3:89340916-89342090	.	.	.	.
NM_001256425	4:94640276-94664035	.	.	.	.
NM_001256426	4:94640276-94664035	.	.	.	.
NM_001256427	4:94640276-94664035	.	.	.	.
NM_001291940	1:236803428-236838599,1:236806144-236816543	.	.	.	1:236803428-236838599|1:236806144-236816543,
NM_001256428	4:94640276-94664035	.	.	.	.
NM_001204388	3:197090912-197119530,3:197104903-197119530	.	3:197090912-197119530|3:197104903-197119530,	.	.
NM_001204386	3:197090912-197119530,3:197104903-197119530	.	3:197090912-197119530|3:197104903-197119530,	.	.
NM_001204387	3:197090912-197119530,3:197104903-197119530	.	3:197090912-197119530|3:197104903-197119530,	.	.
NM_005307	4:2984513-3029409	.	.	.	.
NM_001287054	7:100023419-100024307	.	.	.	.
NM_002431	14:60796217-60818847	.	.	.	.
NM_001278666	6:57193842-57210445	.	.	.	.
NM_001278667	6:57193842-57210445	.	.	.	.
NM_002439	5:80767933-80813741	.	.	.	.
NM_031953	4:185247294-185267155,4:185247294-185288082	4:185247294-185288082|4:185247294-185267155,	.	.	.
NM_015186	9:77214329-77227485	.	.	.	.
NM_052834	18:56756583-56758953	.	.	.	.
NR_038352	5:112985835-113001674	.	.	.	.
NM_022753	1:32825313-32834061	.	.	.	.
NM_001256338	1:147275354-147285487	.	.	.	.
NM_012343	5:43675511-43704400	.	.	.	.
NM_001130107	14:103669511-103677523	.	.	.	.
NM_020889	17:28921688-28927063	.	.	.	.
NM_001289936	17:39724726-39725853	.	.	.	.
NM_001289937	17:39724726-39725853	.	.	.	.
NM_001258379	3:27383153-27424152,3:27433916-27452498	.	.	.	.
NM_080391	1:31915895-31919658	.	.	.	.
NM_176814	7:127373342-127377329	.	.	.	.
NR_123719	5:43161249-43161931	.	.	.	.
NM_001301108	15:83559253-83588771	.	.	.	.
NM_001301109	15:83559253-83588771	.	.	.	.
NM_001042681	1:8495063-8557523,1:8495063-8614686,1:8541214-8593175,1:8655973-8656441	1:8495063-8557523|1:8495063-8614686,	.	1:8541214-8593175|1:8495063-8557523,	1:8541214-8593175|1:8495063-8614686,
NM_001287219	1:213077696-213129889	.	.	.	.
NM_138492	5:145796442-145826200	.	.	.	.
NM_001243740	1:247155566-247159813,1:247156406-247159813	.	1:247156406-247159813|1:247155566-247159813,	.	.
NM_001168551	1:53796689-53832591	.	.	.	.
NM_004307	4:41013583-41014398	.	.	.	.
NM_003453	13:20002850-20006586,13:20051433-20067390,13:20064451-20083032	.	.	13:20064451-20083032|13:20051433-20067390,	.
NM_020923	2:206279540-206297373	.	.	.	.
NM_012236	1:41070595-41075451,1:41113283-41143112	.	.	.	.
NM_138782	5:73058433-73077493	.	.	.	.
NM_004491	19:46918488-46937408	.	.	.	.
NM_016195	10:89751346-89762835	.	.	.	.
NM_194301	14:35595634-35635598	.	.	.	.
NM_004738	20:58438945-58441083	.	.	.	.
NM_001282937	1:47280241-47282459	.	.	.	.
NM_001282936	1:47280241-47282459	.	.	.	.
NM_001289031	15:49225205-49292537	.	.	.	.
NM_001289030	15:49225205-49292537	.	.	.	.
NM_017950	17:80048583-80050283	.	.	.	.
NM_001199388	6:130955105-130956499	.	.	.	.
NM_001282939	1:47280241-47282459	.	.	.	.
NM_001282938	1:47280241-47282459	.	.	.	.
NM_004272	5:79396823-79457018,5:79439010-79457018	.	5:79439010-79457018|5:79396823-79457018,	.	.
NM_001290131	17:28921688-28927063	.	.	.	.
NM_016447	7:24620052-24668660,7:24623663-24650712,7:24623663-24668660,7:24623663-24680520,7:24623666-24650712,7:24623666-24668660	7:24623666-24668660|7:24623666-24650712,7:24623663-24650712|7:24623663-24680520|7:24623663-24668660,	7:24623663-24650712|7:24623666-24650712,7:24623666-24668660|7:24620052-24668660|7:24623663-24668660,	7:24623663-24680520|7:24620052-24668660,7:24623663-24650712|7:24623666-24668660,	7:24623663-24650712|7:24623666-24650712|7:24620052-24668660,7:24623666-24650712|7:24623663-24668660,7:24623663-24680520|7:24623666-24668660|7:24623666-24650712,
NM_016441	2:36396614-36442735,2:36396614-36464655	2:36396614-36442735|2:36396614-36464655,	.	.	.
NM_001242599	20:35714185-35725155,20:35721740-35725155	.	20:35714185-35725155|20:35721740-35725155,	.	.
NM_024989	2:196912882-196922186	.	.	.	.
NM_001198656	9:110136127-110138539	.	.	.	.
NM_201559	6:108663455-108664889	.	.	.	.
NM_001243936	17:18865469-18889877	.	.	.	.
NR_024549	7:87163495-87174669	.	.	.	.
NM_003379	6:158783520-158789371	.	.	.	.
NM_006251	5:40764514-40775503	.	.	.	.
NM_001128224	3:129827803-129832826	.	.	.	.
NM_006256	1:88740988-88786213,1:88770352-88786213	.	1:88740988-88786213|1:88770352-88786213,	.	.
NR_046564	21:29370921-29381400	.	.	.	.
NR_028393	1:231795242-231818517	.	.	.	.
NM_020401	12:68696819-68715740	.	.	.	.
NR_028395	1:231795242-231818517	.	.	.	.
NM_173601	12:42097442-42119171	.	.	.	.
NM_015934	2:202290323-202295837	.	.	.	.
NR_028397	1:231795242-231818517	.	.	.	.
NM_001135095	3:172247533-172251541	.	.	.	.
NM_001308244	5:180261684-180280608	.	.	.	.
NM_001308248	1:92563642-92636336,1:92563642-92704744	1:92563642-92704744|1:92563642-92636336,	.	.	.
NM_199413	15:90976676-90981981	.	.	.	.
NM_144660	10:75150514-75151106	.	.	.	.
NM_006430	2:61876095-61879011	.	.	.	.
NM_006431	12:69589485-69593613	.	.	.	.
NM_001105537	2:218656150-218656463	.	.	.	.
NM_001184937	2:120127688-120175004	.	.	.	.
NM_001105531	6:70475410-70502791	.	.	.	.
NM_001277814	8:63186147-63187745	.	.	.	.
NM_001277815	8:63186147-63187745	.	.	.	.
NM_001277816	8:63186147-63187745	.	.	.	.
NM_001277817	8:63186147-63187745	.	.	.	.
NM_001277813	8:63186147-63187745	.	.	.	.
NM_001277818	8:63186147-63187745	.	.	.	.
NM_001012614	4:1225360-1241519	.	.	.	.
NM_001170804	12:50427762-50437838,12:50427762-50441643	12:50427762-50441643|12:50427762-50437838,	.	.	.
NM_001170803	12:50427762-50437838,12:50427762-50441643	12:50427762-50441643|12:50427762-50437838,	.	.	.
NR_030613	17:12054889-12113360	.	.	.	.
NM_001170808	12:50427762-50437838,12:50427762-50441643	12:50427762-50441643|12:50427762-50437838,	.	.	.
NM_001288989	10:94030683-94032252	.	.	.	.
NM_183387	14:88681890-88766867	.	.	.	.
NR_030166	9:20715322-20789608	.	.	.	.
NM_006322	13:112516440-112527484	.	.	.	.
NM_006323	4:109506328-109539667	.	.	.	.
NM_175733	11:7313395-7313941	.	.	.	.
NM_001172418	6:38577600-38598121	.	.	.	.
NM_003550	7:1898200-2002121	.	.	.	.
NR_120410	13:75566695-75623320	.	.	.	.
NR_120411	13:75566695-75623320	.	.	.	.
NR_120412	13:75566695-75623320	.	.	.	.
NM_024561	13:41316846-41336756	.	.	.	.
NM_024568	1:147275354-147285487	.	.	.	.
NM_001305878	8:42048378-42049707	.	.	.	.
NM_001039802	1:22078429-22086866	.	.	.	.
NM_001256721	2:61876095-61879011	.	.	.	.
NM_001142930	11:43326507-43335994	.	.	.	.
NM_001242871	13:77719532-77753358	.	.	.	.
NM_001144978	4:74174506-74225394	.	.	.	.
NM_018697	7:55391793-55412089	.	.	.	.
NM_018695	5:65988635-66014725,5:66053406-66054951	.	.	.	.
NM_001291958	6:161034259-161049979,6:161048616-161049979	.	6:161034259-161049979|6:161048616-161049979,	.	.
NM_001130021	17:42498924-42501304	.	.	.	.
NM_001130020	17:42498924-42501304	.	.	.	.
NM_001204401	X:123885631-123892773	.	.	.	.
NM_015571	6:75634707-75663518,6:75702645-75711416	.	.	.	.
NR_073000	7:152783187-152825122	.	.	.	.
NR_073001	7:152783187-152825122	.	.	.	.
NM_001144884	1:100906852-100921841	.	.	.	.
NM_001242870	13:77719532-77753358	.	.	.	.
NM_001142931	11:43326507-43335994	.	.	.	.
NM_005646	1:234446803-234472811,1:234450428-234463934	.	.	.	1:234446803-234472811|1:234450428-234463934,
NM_023034	8:38337305-38348215,8:38347497-38348215	.	8:38337305-38348215|8:38347497-38348215,	.	.
NM_022740	7:139715932-139717015	.	.	.	.
NM_022039	10:101667886-101676436	.	.	.	.
NM_001130110	18:44701175-44701832	.	.	.	.
NM_001130112	12:118019072-118028030	.	.	.	.
NM_032012	9:109033307-109087342,9:109080839-109108570	.	.	9:109080839-109108570|9:109033307-109087342,	.
NM_014976	10:103438015-103438808	.	.	.	.
NM_001195101	1:31915895-31919658	.	.	.	.
NM_001195100	1:31915895-31919658	.	.	.	.
NM_014972	16:89895038-89900794	.	.	.	.
NR_123720	5:43161249-43161931	.	.	.	.
NM_001013836	7:1898200-2002121	.	.	.	.
NM_001013837	7:1898200-2002121	.	.	.	.
NM_018079	2:45546732-45553730	.	.	.	.
NM_018078	4:128074460-128077962,4:128074460-128091512	4:128074460-128077962|4:128074460-128091512,	.	.	.
NM_177422	1:35945692-35973511	.	.	.	.
NM_001286561	11:72018183-72024353	.	.	.	.
NM_015087	13:36326575-36335832	.	.	.	.
NM_018076	10:27981466-27985211	.	.	.	.
NM_001258389	5:10213491-10227647	.	.	.	.
NM_001258388	5:10213491-10227647	.	.	.	.
NM_001258380	3:27383153-27424152,3:27433916-27452498	.	.	.	.
NM_194429	6:167022409-167033971	.	.	.	.
NM_199177	9:122280443-122291840	.	.	.	.
NR_131765	14:45011975-45054549	.	.	.	.
NM_182648	14:34862044-34862322	.	.	.	.
NM_182644	3:89340916-89342090	.	.	.	.
NM_182641	17:67945409-67975958	.	.	.	.
NM_001242898	22:50372020-50394135	.	.	.	.
NM_001242899	22:50372020-50394135	.	.	.	.
NM_001300731	11:46433474-46435037	.	.	.	.
NM_001167	X:123885631-123892773	.	.	.	.
NM_173454	15:85113377-85126374	.	.	.	.
NM_001017395	3:129827803-129832826	.	.	.	.
NM_001261816	16:2557703-2566453	.	.	.	.
NM_012224	4:169580842-169590809	.	.	.	.
NM_001494	10:5773842-5800705,10:5785142-5800705,10:5794885-5800705	.	10:5785142-5800705|10:5773842-5800705|10:5794885-5800705,	.	.
NM_001284214	2:229858772-229860531,2:229858772-229880128	2:229858772-229860531|2:229858772-229880128,	.	.	.
NM_001284215	2:229858772-229860531,2:229858772-229880128	2:229858772-229860531|2:229858772-229880128,	.	.	.
NM_001284216	2:229858772-229880128	.	.	.	.
NM_001284210	14:70592880-70597777	.	.	.	.
NM_001284211	14:70592880-70597777	.	.	.	.
NR_036650	15:32522448-32533368,15:32526813-32533368	.	15:32526813-32533368|15:32522448-32533368,	.	.
NM_030938	17:59737453-59817773	.	.	.	.
NM_001137668	6:89862126-89871388	.	.	.	.
NM_004065	X:140783175-140784659	.	.	.	.
NM_001137667	6:89862126-89871388	.	.	.	.
NM_030937	1:1387235-1390865	.	.	.	.
NM_001304525	7:1898200-2002121	.	.	.	.
NM_001304524	7:1898200-2002121	.	.	.	.
NM_101395	21:37420299-37472880	.	.	.	.
NM_001304523	7:1898200-2002121	.	.	.	.
NR_109856	2:183151508-183161195	.	.	.	.
NM_194252	9:121974009-121989770	.	.	.	.
NM_001276453	17:47663089-47668410	.	.	.	.
NM_015963	2:241632917-241634079	.	.	.	.
NM_198229	4:3314791-3343053	.	.	.	.
NM_001001925	8:17743604-17755961	.	.	.	.
NM_001001924	8:17743604-17755961	.	.	.	.
NM_181461	2:222220140-222232283	.	.	.	.
NM_001309431	11:117152441-117163892	.	.	.	.
NM_001164273	15:41668828-41669958,15:41696075-41699159,15:41696075-41713496	15:41696075-41713496|15:41696075-41699159,	.	.	.
NM_007081	22:50768760-50782351	.	.	.	.
NM_001303429	1:46055795-46080750	.	.	.	.
NM_001303428	1:46055795-46080750	.	.	.	.
NM_175920	5:97013648-97028612	.	.	.	.
NM_003304	3:142736379-142748460	.	.	.	.
NM_001303427	1:46055795-46080750	.	.	.	.
NM_024953	12:112068880-112081134,12:112081060-112093136	.	.	12:112081060-112093136|12:112068880-112081134,	.
NM_003300	14:102870185-102876525,14:102870185-102903429	14:102870185-102876525|14:102870185-102903429,	.	.	.
NM_001199282	4:150302625-150321383	.	.	.	.
NR_102264	10:68459104-68470163,10:68468123-68470163	.	10:68468123-68470163|10:68459104-68470163,	.	.
NM_001253701	5:65988635-66014725,5:66053406-66054951	.	.	.	.
NM_004515	1:153665220-153668557	.	.	.	.
NM_144981	11:31452718-31463305	.	.	.	.
NM_024884	14:50265358-50294246	.	.	.	.
NM_144989	1:224952670-224968874,1:224952670-224974153,1:224952670-225007544,1:224952670-225023865,1:224952674-225007544	1:224952670-225023865|1:224952670-225007544|1:224952670-224968874|1:224952670-224974153,	1:224952670-225007544|1:224952674-225007544,	1:224952670-224968874|1:224952674-225007544,1:224952674-225007544|1:224952670-224974153,	1:224952674-225007544|1:224952670-225023865,
NM_001289003	16:71678755-71681905	.	.	.	.
NM_198428	7:33146242-33177591	.	.	.	.
NM_002926	4:3314791-3343053	.	.	.	.
NM_001257282	2:232014835-232030080	.	.	.	.
NM_001257281	2:232014835-232030080	.	.	.	.
NM_031407	X:53614534-53617446,X:53645311-53654131	.	.	.	.
NR_026975	X:131743096-131794466,X:131749306-131785258,X:131749306-131794466	X:131749306-131785258|X:131749306-131794466,	X:131743096-131794466|X:131749306-131794466,	.	X:131743096-131794466|X:131749306-131785258,
NM_001243251	11:78465876-78493195	.	.	.	.
NM_001206729	1:243545510-243843282,1:243563720-243695716,1:243563720-243843282,1:243613671-243695716,1:243613671-243843282,1:243645893-243843282	1:243563720-243843282|1:243563720-243695716,1:243613671-243843282|1:243613671-243695716,	1:243563720-243843282|1:243545510-243843282|1:243613671-243843282|1:243645893-243843282,1:243563720-243695716|1:243613671-243695716,	1:243613671-243843282|1:243645893-243843282|1:243563720-243695716,1:243645893-243843282|1:243613671-243695716,	1:243545510-243843282|1:243563720-243695716|1:243613671-243695716,1:243563720-243843282|1:243613671-243695716,
NM_001243439	17:20204333-20205912,17:20245926-20260294	.	.	.	.
NM_001243438	17:20204333-20205912	.	.	.	.
NM_002858	1:94458607-94506642	.	.	.	.
NM_005813	2:37316237-37317179	.	.	.	.
NM_005819	1:180976118-181005463,1:180984677-180993425	.	.	.	1:180984677-180993425|1:180976118-181005463,
NM_006200	9:76067955-76107351	.	.	.	.
NM_001289079	10:14928016-14935564	.	.	.	.
NM_013255	7:131387120-131399433	.	.	.	.
NM_001282168	13:52416017-52427219	.	.	.	.
NM_001282169	13:52416017-52427219	.	.	.	.
NM_001166693	4:87046166-87047594	.	.	.	.
NM_001010895	9:95897849-95928864	.	.	.	.
NM_001135058	14:30877572-30880734	.	.	.	.
NM_152446	14:80743075-80778046	.	.	.	.
NM_005499	19:34430576-34438766,19:34431861-34467014,19:34450265-34464131,19:34451981-34464131,19:34451981-34467014	19:34451981-34467014|19:34451981-34464131,	19:34450265-34464131|19:34451981-34464131,19:34451981-34467014|19:34431861-34467014,	19:34430576-34438766|19:34431861-34467014,19:34450265-34464131|19:34451981-34467014,	19:34450265-34464131|19:34451981-34464131|19:34431861-34467014,
NM_001127500	7:116699071-116700284	.	.	.	.
NM_005493	6:13632370-13644729,6:13639563-13644729	.	6:13639563-13644729|6:13632370-13644729,	.	.
NM_001286210	1:180976118-181005463,1:180984677-180993425	.	.	.	1:180984677-180993425|1:180976118-181005463,
NM_018682	7:105038126-105091314,7:105090009-105091314	.	7:105090009-105091314|7:105038126-105091314,	.	.
NM_001184748	11:117152441-117163892	.	.	.	.
NM_003631	10:49879673-49935142,10:49915917-49935142	.	10:49915917-49935142|10:49879673-49935142,	.	.
NM_001184746	11:117152441-117163892	.	.	.	.
NM_001257138	20:34470048-34492597	.	.	.	.
NM_018449	9:33953285-33963791,9:33986760-34017189	.	.	.	.
NM_001257137	20:34470048-34492597	.	.	.	.
NM_173797	5:79640851-79669028	.	.	.	.
NM_018662	1:231795242-231818517	.	.	.	.
NM_152227	20:17947486-17957037	.	.	.	.
NM_014300	15:84680713-84691644	.	.	.	.
NM_001270699	10:31908172-31910563	.	.	.	.
NM_001242869	13:77719532-77753358	.	.	.	.
NM_001242868	13:77719532-77753358	.	.	.	.
NM_001278603	4:76134175-76144473	.	.	.	.
NM_001278604	4:128074460-128077962,4:128074460-128091512	4:128074460-128077962|4:128074460-128091512,	.	.	.
NM_023029	10:121564502-121565704	.	.	.	.
NM_002453	2:55236448-55237428	.	.	.	.
NM_001040653	3:126459653-126472305	.	.	.	.
NM_080666	14:63598756-63599973	.	.	.	.
NM_001145418	22:28163092-28163599	.	.	.	.
NM_032435	1:233346442-233362293	.	.	.	.
NM_001277155	1:235470850-235494828,1:235480054-235494828	.	1:235480054-235494828|1:235470850-235494828,	.	.
NM_012327	18:62072673-62095950	.	.	.	.
NM_001199183	3:130930416-130941699	.	.	.	.
NM_014947	1:42227883-42323827,1:42265115-42278784	.	.	.	1:42227883-42323827|1:42265115-42278784,
NM_014946	2:32098796-32116212	.	.	.	.
NM_001143788	12:42374863-42398994	.	.	.	.
NM_001143789	12:42374863-42398994	.	.	.	.
