#circRNA_ID	junction_reads_ID
10:31908172|31910563	MISEQ:136:000000000-ACBC6:1:1115:9119:20110,MISEQ:136:000000000-ACBC6:1:1113:13718:5329,MISEQ:136:000000000-ACBC6:1:1107:12077:18271,MISEQ:136:000000000-ACBC6:1:2102:9896:7810,MISEQ:136:000000000-ACBC6:1:2109:22180:24550,MISEQ:136:000000000-ACBC6:1:2106:20293:18912,MISEQ:136:000000000-ACBC6:1:1103:7300:12768,MISEQ:136:000000000-ACBC6:1:1118:21954:12196,MISEQ:136:000000000-ACBC6:1:1105:21594:11769,MISEQ:136:000000000-ACBC6:1:1101:18956:16390,MISEQ:136:000000000-ACBC6:1:2112:12402:24477,MISEQ:136:000000000-ACBC6:1:2102:25857:7518,MISEQ:136:000000000-ACBC6:1:2106:22713:1634,MISEQ:136:000000000-ACBC6:1:1114:13539:19551,MISEQ:136:000000000-ACBC6:1:1110:9904:21458,MISEQ:136:000000000-ACBC6:1:1116:8339:21168,MISEQ:136:000000000-ACBC6:1:1115:4931:12635,
10:31908172|31922960	MISEQ:136:000000000-ACBC6:1:1102:19383:22652,MISEQ:136:000000000-ACBC6:1:1106:23214:12936,
10:32543300|32584304	MISEQ:136:000000000-ACBC6:1:2103:15420:5005,MISEQ:136:000000000-ACBC6:1:2107:16688:14718,
10:35516523|35530243	MISEQ:136:000000000-ACBC6:1:1118:6352:16475,MISEQ:136:000000000-ACBC6:1:1102:17309:7820,
10:45457785|45464327	MISEQ:136:000000000-ACBC6:1:1109:10692:9127,MISEQ:136:000000000-ACBC6:1:1108:10701:16370,MISEQ:136:000000000-ACBC6:1:1112:21228:15586,
10:45639816|45663842	MISEQ:136:000000000-ACBC6:1:1116:22066:15018,MISEQ:136:000000000-ACBC6:1:1108:8891:13506,
10:45681772|46112648	MISEQ:136:000000000-ACBC6:1:2119:7600:14682,MISEQ:136:000000000-ACBC6:1:2101:21267:4111,
10:45888165|45965855	MISEQ:136:000000000-ACBC6:1:2108:2538:15830,MISEQ:136:000000000-ACBC6:1:2118:20920:9413,
10:47542167|48033165	MISEQ:136:000000000-ACBC6:1:1116:13646:22603,MISEQ:136:000000000-ACBC6:1:1104:21570:6140,MISEQ:136:000000000-ACBC6:1:1109:24240:19235,
10:49915917|49935142	MISEQ:136:000000000-ACBC6:1:2109:7438:5414,MISEQ:136:000000000-ACBC6:1:1102:18899:7111,MISEQ:136:000000000-ACBC6:1:1117:22562:21566,MISEQ:136:000000000-ACBC6:1:1116:16649:16262,MISEQ:136:000000000-ACBC6:1:1115:20768:18572,MISEQ:136:000000000-ACBC6:1:1110:7111:12002,MISEQ:136:000000000-ACBC6:1:2108:19976:1769,MISEQ:136:000000000-ACBC6:1:2105:15088:20101,
10:50433476|50590247	MISEQ:136:000000000-ACBC6:1:1114:16120:4969,MISEQ:136:000000000-ACBC6:1:2119:21305:5633,MISEQ:136:000000000-ACBC6:1:2106:10195:8821,MISEQ:136:000000000-ACBC6:1:2113:25533:8576,
10:63380318|63455089	MISEQ:136:000000000-ACBC6:1:1108:28942:9228,MISEQ:136:000000000-ACBC6:1:1108:2716:11276,
10:67988663|68014186	MISEQ:136:000000000-ACBC6:1:1116:14058:23244,MISEQ:136:000000000-ACBC6:1:2119:15489:25107,
10:68459104|68470163	MISEQ:136:000000000-ACBC6:1:1106:23350:13085,MISEQ:136:000000000-ACBC6:1:2118:21235:12388,MISEQ:136:000000000-ACBC6:1:1109:10743:13067,MISEQ:136:000000000-ACBC6:1:2119:6601:11765,
10:68468123|68470163	MISEQ:136:000000000-ACBC6:1:1103:2465:14440,MISEQ:136:000000000-ACBC6:1:1119:26145:15135,MISEQ:136:000000000-ACBC6:1:1118:19362:16884,
10:68487144|68493570	MISEQ:136:000000000-ACBC6:1:1113:18299:3268,MISEQ:136:000000000-ACBC6:1:2107:12246:17118,
10:68487144|68506718	MISEQ:136:000000000-ACBC6:1:2107:25601:7443,MISEQ:136:000000000-ACBC6:1:1110:9518:11419,MISEQ:136:000000000-ACBC6:1:1118:13173:23593,MISEQ:136:000000000-ACBC6:1:1101:22613:16669,MISEQ:136:000000000-ACBC6:1:2117:16658:10716,
10:68487144|68516843	MISEQ:136:000000000-ACBC6:1:2105:13089:6577,MISEQ:136:000000000-ACBC6:1:1105:8555:13413,
10:68644698|68647005	MISEQ:136:000000000-ACBC6:1:2106:5593:17928,MISEQ:136:000000000-ACBC6:1:2101:24964:5456,MISEQ:136:000000000-ACBC6:1:1109:15286:2501,
10:68753852|68773099	MISEQ:136:000000000-ACBC6:1:1105:11136:12842,MISEQ:136:000000000-ACBC6:1:1102:12571:2261,MISEQ:136:000000000-ACBC6:1:1109:14942:18623,
10:68959806|68960249	MISEQ:136:000000000-ACBC6:1:1116:24022:9414,MISEQ:136:000000000-ACBC6:1:1119:3377:13907,MISEQ:136:000000000-ACBC6:1:1107:12644:1376,
10:73172199|73208786	MISEQ:136:000000000-ACBC6:1:1117:14104:16209,MISEQ:136:000000000-ACBC6:1:2101:18406:17030,
10:74969660|74989112	MISEQ:136:000000000-ACBC6:1:2110:21372:3706,MISEQ:136:000000000-ACBC6:1:2107:20251:18663,
10:79710382|79848070	MISEQ:136:000000000-ACBC6:1:1104:26743:18118,MISEQ:136:000000000-ACBC6:1:1112:11974:11837,
10:84371014|84373815	MISEQ:136:000000000-ACBC6:1:2106:5511:21825,MISEQ:136:000000000-ACBC6:1:2106:11675:9959,MISEQ:136:000000000-ACBC6:1:1108:11031:24260,MISEQ:136:000000000-ACBC6:1:1110:18409:8113,MISEQ:136:000000000-ACBC6:1:2115:26330:9974,MISEQ:136:000000000-ACBC6:1:2109:14394:10386,
10:86451967|86461287	MISEQ:136:000000000-ACBC6:1:2119:13319:22254,MISEQ:136:000000000-ACBC6:1:2114:11521:5804,
10:86451967|86473973	MISEQ:136:000000000-ACBC6:1:1114:20436:18953,MISEQ:136:000000000-ACBC6:1:1115:23316:11673,
10:86838865|86876085	MISEQ:136:000000000-ACBC6:1:1117:16795:15983,MISEQ:136:000000000-ACBC6:1:1108:9288:9486,MISEQ:136:000000000-ACBC6:1:1112:11327:11537,
10:87223718|87355425	MISEQ:136:000000000-ACBC6:1:1103:8640:9857,MISEQ:136:000000000-ACBC6:1:2109:24279:3536,MISEQ:136:000000000-ACBC6:1:2106:7602:20123,MISEQ:136:000000000-ACBC6:1:1103:26810:20280,MISEQ:136:000000000-ACBC6:1:2108:26728:8308,MISEQ:136:000000000-ACBC6:1:1116:11716:4632,MISEQ:136:000000000-ACBC6:1:2106:18818:5866,MISEQ:136:000000000-ACBC6:1:2106:19938:25102,MISEQ:136:000000000-ACBC6:1:2102:10065:1491,
10:87228263|87358431	MISEQ:136:000000000-ACBC6:1:1117:21333:3871,MISEQ:136:000000000-ACBC6:1:2104:12475:8523,MISEQ:136:000000000-ACBC6:1:1104:8286:7886,
10:87878926|87933251	MISEQ:136:000000000-ACBC6:1:1115:15063:23413,MISEQ:136:000000000-ACBC6:1:1102:6383:6780,MISEQ:136:000000000-ACBC6:1:1107:20344:13046,
10:89751346|89762835	MISEQ:136:000000000-ACBC6:1:1118:27302:10029,MISEQ:136:000000000-ACBC6:1:2104:25509:15079,MISEQ:136:000000000-ACBC6:1:2114:17937:21019,
10:91425281|91462184	MISEQ:136:000000000-ACBC6:1:2111:12369:22069,MISEQ:136:000000000-ACBC6:1:1108:15101:20848,
10:91819270|91842391	MISEQ:136:000000000-ACBC6:1:2111:20793:16967,MISEQ:136:000000000-ACBC6:1:2102:3760:14725,
10:91994535|92008275	MISEQ:136:000000000-ACBC6:1:1112:12384:15897,MISEQ:136:000000000-ACBC6:1:1115:9001:16494,MISEQ:136:000000000-ACBC6:1:2117:23158:2378,
10:91996369|92008275	MISEQ:136:000000000-ACBC6:1:2110:22572:12824,MISEQ:136:000000000-ACBC6:1:2114:17117:6584,
10:92637184|92645642	MISEQ:136:000000000-ACBC6:1:2114:14420:7840,MISEQ:136:000000000-ACBC6:1:1114:25202:17906,
10:94030683|94032252	MISEQ:136:000000000-ACBC6:1:1119:18850:5561,MISEQ:136:000000000-ACBC6:1:2116:16871:3132,MISEQ:136:000000000-ACBC6:1:2116:10729:3551,
10:94588229|94594854	MISEQ:136:000000000-ACBC6:1:1106:4142:14838,MISEQ:136:000000000-ACBC6:1:2117:14603:20301,
10:94588229|94597111	MISEQ:136:000000000-ACBC6:1:2108:24177:4263,MISEQ:136:000000000-ACBC6:1:2111:22236:11570,
10:97437191|97437750	MISEQ:136:000000000-ACBC6:1:2118:11482:20451,MISEQ:136:000000000-ACBC6:1:1117:3489:10123,MISEQ:136:000000000-ACBC6:1:1113:6834:16717,
10:97465805|97478389	MISEQ:136:000000000-ACBC6:1:1117:24528:17276,MISEQ:136:000000000-ACBC6:1:2106:6749:13360,
10:97744729|97753182	MISEQ:136:000000000-ACBC6:1:1110:26867:18390,MISEQ:136:000000000-ACBC6:1:2111:17459:11371,
10:100923975|100926019	MISEQ:136:000000000-ACBC6:1:1106:17211:16074,MISEQ:136:000000000-ACBC6:1:2113:5853:13646,MISEQ:136:000000000-ACBC6:1:2105:15192:13821,MISEQ:136:000000000-ACBC6:1:1106:5124:7900,
10:101798842|101800400	MISEQ:136:000000000-ACBC6:1:1108:10304:24970,MISEQ:136:000000000-ACBC6:1:2116:3957:17868,MISEQ:136:000000000-ACBC6:1:2114:26169:21935,
10:102157019|102158214	MISEQ:136:000000000-ACBC6:1:2102:21518:22833,MISEQ:136:000000000-ACBC6:1:2116:7762:15562,MISEQ:136:000000000-ACBC6:1:1101:19038:2846,
10:103438015|103438808	MISEQ:136:000000000-ACBC6:1:2110:20172:2897,MISEQ:136:000000000-ACBC6:1:1111:16379:18071,MISEQ:136:000000000-ACBC6:1:1119:29075:12373,
10:103439746|103440850	MISEQ:136:000000000-ACBC6:1:1105:22842:21199,MISEQ:136:000000000-ACBC6:1:2110:10032:4112,MISEQ:136:000000000-ACBC6:1:1108:18062:16717,MISEQ:136:000000000-ACBC6:1:1112:17683:23070,
10:110596398|110598290	MISEQ:136:000000000-ACBC6:1:1106:14031:12496,MISEQ:136:000000000-ACBC6:1:2118:10812:4730,
10:110964125|110985765	MISEQ:136:000000000-ACBC6:1:2115:11108:20920,MISEQ:136:000000000-ACBC6:1:1111:19154:21464,MISEQ:136:000000000-ACBC6:1:1105:16605:12260,
10:113876521|113884380	MISEQ:136:000000000-ACBC6:1:1112:25502:9360,MISEQ:136:000000000-ACBC6:1:2113:16511:10729,
10:115120185|115129535	MISEQ:136:000000000-ACBC6:1:1101:10854:5621,MISEQ:136:000000000-ACBC6:1:1111:10997:9072,MISEQ:136:000000000-ACBC6:1:2103:7678:7827,MISEQ:136:000000000-ACBC6:1:1109:14744:6731,MISEQ:136:000000000-ACBC6:1:2105:21892:11136,
10:115120185|115165645	MISEQ:136:000000000-ACBC6:1:2106:9940:9353,MISEQ:136:000000000-ACBC6:1:2110:15672:14689,MISEQ:136:000000000-ACBC6:1:2117:14895:13604,MISEQ:136:000000000-ACBC6:1:1103:26823:20984,MISEQ:136:000000000-ACBC6:1:1106:16989:19085,
10:115120185|115171292	MISEQ:136:000000000-ACBC6:1:2102:26014:11028,MISEQ:136:000000000-ACBC6:1:1109:11653:12507,MISEQ:136:000000000-ACBC6:1:1115:14216:4429,MISEQ:136:000000000-ACBC6:1:2104:27081:20116,
10:115120185|115173448	MISEQ:136:000000000-ACBC6:1:1116:5326:18260,MISEQ:136:000000000-ACBC6:1:2117:7298:11040,
10:115120185|115334419	MISEQ:136:000000000-ACBC6:1:2114:12188:21031,MISEQ:136:000000000-ACBC6:1:2116:4955:21575,MISEQ:136:000000000-ACBC6:1:2101:18865:10298,
10:115120185|115394752	MISEQ:136:000000000-ACBC6:1:1118:29022:14054,MISEQ:136:000000000-ACBC6:1:1115:21168:15098,
10:117485953|117486478	MISEQ:136:000000000-ACBC6:1:1111:26313:21154,MISEQ:136:000000000-ACBC6:1:2114:24178:18173,
10:121538592|121565704	MISEQ:136:000000000-ACBC6:1:2106:8530:12360,MISEQ:136:000000000-ACBC6:1:1105:12661:15822,
10:122392303|122427031	MISEQ:136:000000000-ACBC6:1:2103:9844:21141,MISEQ:136:000000000-ACBC6:1:2103:29357:16270,
10:124681607|124682379	MISEQ:136:000000000-ACBC6:1:1101:16422:14517,MISEQ:136:000000000-ACBC6:1:2117:11676:8665,MISEQ:136:000000000-ACBC6:1:1113:19989:19512,MISEQ:136:000000000-ACBC6:1:1114:10030:15762,
10:124940374|124943307	MISEQ:136:000000000-ACBC6:1:1113:11469:15778,MISEQ:136:000000000-ACBC6:1:1107:12587:12182,MISEQ:136:000000000-ACBC6:1:1106:27025:7113,MISEQ:136:000000000-ACBC6:1:1116:13403:4785,MISEQ:136:000000000-ACBC6:1:1106:10793:9521,
10:124942457|124943307	MISEQ:136:000000000-ACBC6:1:2106:23645:14538,MISEQ:136:000000000-ACBC6:1:1106:24649:13258,MISEQ:136:000000000-ACBC6:1:1103:14077:21012,MISEQ:136:000000000-ACBC6:1:1105:15080:1522,MISEQ:136:000000000-ACBC6:1:1108:5894:17446,MISEQ:136:000000000-ACBC6:1:1118:22793:17857,MISEQ:136:000000000-ACBC6:1:2119:15085:22898,MISEQ:136:000000000-ACBC6:1:1107:29404:15765,MISEQ:136:000000000-ACBC6:1:1115:3963:17212,MISEQ:136:000000000-ACBC6:1:1116:9370:8575,MISEQ:136:000000000-ACBC6:1:2108:23695:19150,MISEQ:136:000000000-ACBC6:1:1115:14822:21453,MISEQ:136:000000000-ACBC6:1:2106:29262:10033,MISEQ:136:000000000-ACBC6:1:1109:20611:16167,MISEQ:136:000000000-ACBC6:1:2102:15348:6992,MISEQ:136:000000000-ACBC6:1:2105:25528:10906,MISEQ:136:000000000-ACBC6:1:1109:25424:18023,MISEQ:136:000000000-ACBC6:1:1108:17984:6911,MISEQ:136:000000000-ACBC6:1:1104:19160:6930,MISEQ:136:000000000-ACBC6:1:2112:18756:11513,MISEQ:136:000000000-ACBC6:1:1116:22845:6177,MISEQ:136:000000000-ACBC6:1:1119:21113:7002,MISEQ:136:000000000-ACBC6:1:1103:24688:3982,MISEQ:136:000000000-ACBC6:1:1115:21536:18762,MISEQ:136:000000000-ACBC6:1:1115:15255:21230,MISEQ:136:000000000-ACBC6:1:1109:5692:11046,MISEQ:136:000000000-ACBC6:1:2117:11953:8195,MISEQ:136:000000000-ACBC6:1:1107:22723:8254,MISEQ:136:000000000-ACBC6:1:2107:19874:19645,MISEQ:136:000000000-ACBC6:1:2104:1815:12847,MISEQ:136:000000000-ACBC6:1:2113:22139:5109,MISEQ:136:000000000-ACBC6:1:1110:23687:22161,
10:124942457|124966781	MISEQ:136:000000000-ACBC6:1:2119:15844:7921,MISEQ:136:000000000-ACBC6:1:2112:21029:15911,
10:126970702|127000307	MISEQ:136:000000000-ACBC6:1:1111:13011:19724,MISEQ:136:000000000-ACBC6:1:1111:11637:5518,
