sample	circle_id	transcript_id	other_ids	exon_id	chr	start	end	strand	exon_length	unique_reads	fragments	number+	number-
github_testdata_20160111	10_7243558_7285954	NM_001018039	NM_001018039,NM_001029880	15	10	7283903	7284030	-	127	9	13	8	5
github_testdata_20160111	10_7243558_7285954	NM_001018039	NM_001018039,NM_001029880	16	10	7285785	7285904	-	119	10	14	8	6
github_testdata_20160111	10_12081472_12091684	NM_018706	NM_018706	1	10	12081470	12081513	+	43	6	8	2	6
github_testdata_20160111	10_12081472_12091684	NM_018706	NM_018706	2	10	12084536	12084764	+	228	4	5	1	4
github_testdata_20160111	10_12081472_12091684	NM_018706	NM_018706	3	10	12087531	12087696	+	165	2	2	2	0
github_testdata_20160111	10_12081472_12091684	NM_018706	NM_018706	4	10	12088983	12089081	+	98	4	5	4	1
github_testdata_20160111	10_12081472_12091684	NM_018706	NM_018706	5	10	12091510	12091684	+	174	6	9	4	5
github_testdata_20160111	10_7276892_7285954	NM_001018039	NM_001018039,NM_001029880	14	10	7276891	7276992	-	101	5	10	4	6
github_testdata_20160111	10_7276892_7285954	NM_001018039	NM_001018039,NM_001029880	15	10	7283903	7283939	-	36	6	13	7	6
github_testdata_20160111	10_7276892_7285954	NM_001018039	NM_001018039,NM_001029880	16	10	7285785	7285956	-	171	6	14	8	6
github_testdata_20160111	10_11997672_12014184	NM_080599	NM_080599,NM_015542	14	10	11997670	11997759	-	89	5	5	4	1
github_testdata_20160111	10_11997672_12014184	NM_080599	NM_080599,NM_015542	15	10	11999903	12000011	-	108	4	6	4	2
github_testdata_20160111	10_11997672_12014184	NM_080599	NM_080599,NM_015542	16	10	12001675	12001760	-	85	5	7	3	4
github_testdata_20160111	10_11997672_12014184	NM_080599	NM_080599,NM_015542	17	10	12004529	12004729	-	200	5	6	1	5
github_testdata_20160111	10_11997672_12014184	NM_080599	NM_080599,NM_015542	18	10	12014023	12014186	-	163	5	5	4	1
github_testdata_20160111	10_68487144_68506718	NM_152707	NM_152707	1	10	68487142	68487212	-	70	4	5	2	3
github_testdata_20160111	10_68487144_68506718	NM_152707	NM_152707	2	10	68488466	68488627	-	161	5	7	5	2
github_testdata_20160111	10_68487144_68506718	NM_152707	NM_152707	3	10	68493129	68493202	-	73	5	5	3	2
github_testdata_20160111	10_68487144_68506718	NM_152707	NM_152707	4	10	68493447	68493537	-	90	5	8	3	5
github_testdata_20160111	10_68487144_68506718	NM_152707	NM_152707	5	10	68503628	68503696	-	68	4	5	2	3
github_testdata_20160111	10_68487144_68506718	NM_152707	NM_152707	6	10	68506584	68506609	-	25	5	6	3	3
