sample	circle_id	transcript_id	other_ids	exon_id	chr	start	end	strand	exon_length	unique_reads	fragments	number+	number-
hek293_B_test	14:96833467-96860735	NM_003384	NM_003384	2	14	96837761	96837817	+	56	19	33	18	15
hek293_B_test	14:96833467-96860735	NM_003384	NM_003384	3	14	96846094	96846164	+	70	11	11	0	11
hek293_B_test	14:96833467-96860735	NM_003384	NM_003384	4	14	96847256	96847344	+	88	16	16	1	15
hek293_B_test	14:96833467-96860735	NM_003384	NM_003384	5	14	96852830	96852939	+	109	14	14	2	12
hek293_B_test	14:96833467-96860735	NM_003384	NM_003384	6	14	96853073	96853166	+	93	12	12	3	9
hek293_B_test	14:96833467-96860735	NM_003384	NM_003384	7	14	96855223	96855356	+	133	9	9	4	5
hek293_B_test	14:96833467-96860735	NM_003384	NM_003384	8	14	96856129	96856250	+	121	7	7	7	0
hek293_B_test	14:96833467-96860735	NM_003384	NM_003384	9	14	96856527	96856586	+	59	9	14	12	2
hek293_B_test	14:96833467-96860735	NM_003384	NM_003384	10	14	96860556	96860735	+	179	33	46	32	14
hek293_B_test	4:152411303-152412529	NM_001257069	NM_033632,NM_032336,NM_001257069	0	4	152411159	152411872	-	713	7	27	16	11
hek293_B_test	4:152411303-152412529	NM_001257069	NM_033632,NM_032336,NM_001257069	1	4	152412479	152412529	-	50	7	14	9	5
hek293_B_test	5:168488602-168494650	NM_002887	NM_002887	1	5	168488601	168488736	+	135	7	12	4	8
hek293_B_test	5:168488602-168494650	NM_002887	NM_002887	2	5	168492658	168492847	+	189	5	11	4	7
hek293_B_test	5:168488602-168494650	NM_002887	NM_002887	3	5	168493893	168494002	+	109	7	12	7	5
hek293_B_test	5:168488602-168494650	NM_002887	NM_002887	4	5	168494549	168494650	+	101	7	15	8	7
hek293_B_test	3:8935871-8941804	NM_020165	NM_020165	6	3	8935870	8936055	-	185	4	7	1	6
hek293_B_test	3:8935871-8941804	NM_020165	NM_020165	7	3	8939553	8939653	-	100	3	5	2	3
hek293_B_test	3:8935871-8941804	NM_020165	NM_020165	8	3	8941466	8941804	-	338	4	9	5	4
hek293_B_test	9:135881633-135883078	NM_015447	NM_015447	14	9	135881632	135881794	-	162	24	41	17	24
hek293_B_test	9:135881633-135883078	NM_015447	NM_015447	15	9	135882815	135883078	-	263	24	51	27	24
hek293_B_test	4:185247294-185267155	NM_031953	NM_031953	1	4	185247293	185247378	+	85	4	6	0	6
hek293_B_test	4:185247294-185267155	NM_031953	NM_031953	2	4	185258847	185259064	+	217	2	5	1	4
hek293_B_test	4:185247294-185267155	NM_031953	NM_031953	3	4	185264437	185264610	+	173	3	7	3	4
hek293_B_test	4:185247294-185267155	NM_031953	NM_031953	4	4	185266968	185267155	+	187	4	8	2	6
hek293_B_test	7:39987599-40002031	NM_031267	NM_031267,NM_003718	1	7	39987598	39988258	+	660	9	15	4	11
hek293_B_test	7:39987599-40002031	NM_031267	NM_031267,NM_003718	2	7	39997493	39997664	+	171	4	4	4	0
hek293_B_test	7:39987599-40002031	NM_031267	NM_031267,NM_003718	3	7	39999360	39999500	+	140	6	7	7	0
hek293_B_test	7:39987599-40002031	NM_031267	NM_031267,NM_003718	4	7	40001860	40002031	+	171	9	12	6	6
hek293_B_test	7:135577796-135593192	NM_015135	NM_015135	5	7	135577795	135578024	+	229	4	6	3	3
hek293_B_test	7:135577796-135593192	NM_015135	NM_015135	6	7	135578750	135578915	+	165	3	3	0	3
hek293_B_test	7:135577796-135593192	NM_015135	NM_015135	7	7	135584831	135585007	+	176	2	2	0	2
hek293_B_test	7:135577796-135593192	NM_015135	NM_015135	8	7	135587574	135587691	+	117	1	1	1	0
hek293_B_test	7:135577796-135593192	NM_015135	NM_015135	9	7	135587854	135587992	+	138	1	1	1	0
hek293_B_test	7:135577796-135593192	NM_015135	NM_015135	10	7	135591449	135591600	+	151	1	3	1	2
hek293_B_test	7:135577796-135593192	NM_015135	NM_015135	11	7	135592986	135593192	+	206	4	5	3	2
hek293_B_test	1:243613671-243843282	NM_005465	NM_005465,NM_181690,NM_001206729	6	1	243613670	243613739	-	69	4	10	6	4
hek293_B_test	1:243613671-243843282	NM_005465	NM_005465,NM_181690,NM_001206729	7	1	243615095	243615161	-	66	4	10	6	4
hek293_B_test	1:243613671-243843282	NM_005465	NM_005465,NM_181690,NM_001206729	8	1	243637610	243637742	-	132	4	10	6	4
hek293_B_test	1:243613671-243843282	NM_005465	NM_005465,NM_181690,NM_001206729	9	1	243645892	243646037	-	145	1	1	0	1
hek293_B_test	1:243613671-243843282	NM_005465	NM_005465,NM_181690,NM_001206729	10	1	243664771	243664883	-	112	2	2	1	1
hek293_B_test	1:243613671-243843282	NM_005465	NM_005465,NM_181690,NM_001206729	11	1	243695590	243695716	-	126	1	1	1	0
hek293_B_test	1:243613671-243843282	NM_005465	NM_005465,NM_181690,NM_001206729	12	1	243843124	243843282	-	158	4	6	4	2
hek293_B_test	18:12999421-13019206	NM_032142	NM_032142	1	18	12999420	12999588	+	168	8	17	5	12
hek293_B_test	18:12999421-13019206	NM_032142	NM_032142	2	18	13001456	13001582	+	126	5	10	2	8
hek293_B_test	18:12999421-13019206	NM_032142	NM_032142	3	18	13008455	13008631	+	176	2	2	0	2
hek293_B_test	18:12999421-13019206	NM_032142	NM_032142	4	18	13012972	13013025	+	53	1	1	1	0
hek293_B_test	18:12999421-13019206	NM_032142	NM_032142	5	18	13015327	13015448	+	121	3	3	3	0
hek293_B_test	18:12999421-13019206	NM_032142	NM_032142	6	18	13017187	13017336	+	149	5	5	5	0
hek293_B_test	18:12999421-13019206	NM_032142	NM_032142	7	18	13018479	13018615	+	136	6	8	5	3
hek293_B_test	18:12999421-13019206	NM_032142	NM_032142	8	18	13019081	13019206	+	125	8	11	4	7
hek293_B_test	12:1027748-1028572	NM_178039	NM_178039,NR_027946,NM_178040,NR_027948,NR_027949,NM_001301248	1	12	1027747	1028572	+	825	7	22	8	14
hek293_B_test	11:92352096-92355404	NM_001008781	NM_001008781	0	11	92352095	92355404	+	3309	10	35	11	24
hek293_B_test	12:104927973-104928694	NM_032148	NM_032148	9	12	104927972	104928694	-	722	4	13	8	5
hek293_B_test	1:117402186-117420649	NM_006699	NM_006699,NM_004255	1	1	117402185	117402441	+	256	31	64	29	35
hek293_B_test	1:117402186-117420649	NM_006699	NM_006699,NM_004255	2	1	117405548	117405645	+	97	28	32	16	16
hek293_B_test	1:117402186-117420649	NM_006699	NM_006699,NM_004255	3	1	117414712	117414831	+	119	25	44	22	22
hek293_B_test	1:117402186-117420649	NM_006699	NM_006699,NM_004255	4	1	117420568	117420649	+	81	31	54	27	27
hek293_B_test	5:79439010-79457018	NM_004272	NM_001277077,NM_004272,NM_001277078	4	5	79439009	79439149	-	140	5	8	5	3
hek293_B_test	5:79439010-79457018	NM_004272	NM_001277077,NM_004272,NM_001277078	5	5	79447052	79447145	-	93	5	8	3	5
hek293_B_test	5:79439010-79457018	NM_004272	NM_001277077,NM_004272,NM_001277078	6	5	79450989	79451121	-	132	4	6	1	5
hek293_B_test	5:79439010-79457018	NM_004272	NM_001277077,NM_004272,NM_001277078	7	5	79456861	79457018	-	157	5	9	3	6
hek293_B_test	12:1236769-1290012	NM_178039	NM_178039,NR_027946,NM_178040,NR_027948,NR_027949,NM_001301248	11	12	1236768	1236904	+	136	5	10	4	6
hek293_B_test	12:1236769-1290012	NM_178039	NM_178039,NR_027946,NM_178040,NR_027948,NR_027949,NM_001301248	12	12	1263033	1263165	+	132	5	9	3	6
hek293_B_test	12:1236769-1290012	NM_178039	NM_178039,NR_027946,NM_178040,NR_027948,NR_027949,NM_001301248	13	12	1289851	1290012	+	161	5	9	5	4
hek293_B_test	16:68121987-68126610	NM_004555	NM_004555,NM_173165,NM_173163	1	16	68121986	68123121	+	1135	9	24	10	14
hek293_B_test	16:68121987-68126610	NM_004555	NM_004555,NM_173165,NM_173163	2	16	68126447	68126610	+	163	9	17	9	8
hek293_B_test	1:117402186-117442325	NM_006699	NM_006699	1	1	117402185	117402441	+	256	19	33	13	20
hek293_B_test	1:117402186-117442325	NM_006699	NM_006699	2	1	117405548	117405645	+	97	12	12	3	9
hek293_B_test	1:117402186-117442325	NM_006699	NM_006699	3	1	117414712	117414831	+	119	14	27	12	15
hek293_B_test	1:117402186-117442325	NM_006699	NM_006699	4	1	117420568	117420649	+	81	13	26	15	11
hek293_B_test	1:117402186-117442325	NM_006699	NM_006699	5	1	117442230	117442325	+	95	19	32	19	13
hek293_B_test	1:232513857-232515608	NM_020808	NM_020808	20	1	232513856	232515497	-	1641	5	17	11	6
hek293_B_test	19:34451981-34464131	NM_005499	NM_005499	9	19	34451980	34452147	+	167	7	11	3	8
hek293_B_test	19:34451981-34464131	NM_005499	NM_005499	10	19	34454259	34454353	+	94	4	6	0	6
hek293_B_test	19:34451981-34464131	NM_005499	NM_005499	11	19	34454443	34454556	+	113	3	3	2	1
hek293_B_test	19:34451981-34464131	NM_005499	NM_005499	12	19	34458768	34458924	+	156	4	4	3	1
hek293_B_test	19:34451981-34464131	NM_005499	NM_005499	13	19	34460469	34460566	+	97	4	4	4	0
hek293_B_test	19:34451981-34464131	NM_005499	NM_005499	14	19	34464025	34464131	+	106	7	9	5	4
hek293_B_test	14:32090502-32117287	NM_001030055	NM_001030055,NM_001173	1	14	32090501	32094386	+	3885	7	20	9	11
hek293_B_test	14:32090502-32117287	NM_001030055	NM_001030055,NM_001173	2	14	32117139	32117287	+	148	7	10	6	4
hek293_B_test	3:56660731-56673725	NM_001112736	NM_001112736,NM_015224	13	3	56660730	56660834	-	104	8	11	4	7
hek293_B_test	3:56660731-56673725	NM_001112736	NM_001112736,NM_015224	14	3	56660913	56661017	-	104	5	6	0	6
hek293_B_test	3:56660731-56673725	NM_001112736	NM_001112736,NM_015224	15	3	56662384	56662490	-	106	4	4	0	4
hek293_B_test	3:56660731-56673725	NM_001112736	NM_001112736,NM_015224	16	3	56663540	56663572	-	32	2	2	0	2
hek293_B_test	3:56660731-56673725	NM_001112736	NM_001112736,NM_015224	17	3	56666259	56666384	-	125	2	2	0	2
hek293_B_test	3:56660731-56673725	NM_001112736	NM_001112736,NM_015224	18	3	56668396	56668558	-	162	1	1	1	0
hek293_B_test	3:56660731-56673725	NM_001112736	NM_001112736,NM_015224	19	3	56669699	56669791	-	92	4	4	4	0
hek293_B_test	3:56660731-56673725	NM_001112736	NM_001112736,NM_015224	20	3	56670072	56670145	-	73	4	4	4	0
hek293_B_test	3:56660731-56673725	NM_001112736	NM_001112736,NM_015224	21	3	56671599	56671692	-	93	7	11	7	4
hek293_B_test	3:56660731-56673725	NM_001112736	NM_001112736,NM_015224	22	3	56673579	56673725	-	146	8	12	6	6
hek293_B_test	9:92256680-92269983	NM_002161	NM_002161,NM_013417,NR_073446	14	9	92256679	92256800	-	121	5	8	4	4
hek293_B_test	9:92256680-92269983	NM_002161	NM_002161,NM_013417,NR_073446	15	9	92258853	92258998	-	145	3	5	1	4
hek293_B_test	9:92256680-92269983	NM_002161	NM_002161,NM_013417,NR_073446	16	9	92260150	92260234	-	84	2	2	0	2
hek293_B_test	9:92256680-92269983	NM_002161	NM_002161,NM_013417,NR_073446	17	9	92262968	92263055	-	87	1	1	0	1
hek293_B_test	9:92256680-92269983	NM_002161	NM_002161,NM_013417,NR_073446	18	9	92264928	92265123	-	195	2	2	1	1
hek293_B_test	9:92256680-92269983	NM_002161	NM_002161,NM_013417,NR_073446	19	9	92265479	92265553	-	74	1	1	1	0
hek293_B_test	9:92256680-92269983	NM_002161	NM_002161,NM_013417,NR_073446	20	9	92268173	92268300	-	127	3	6	6	0
hek293_B_test	9:92256680-92269983	NM_002161	NM_002161,NM_013417,NR_073446	21	9	92269884	92269983	-	99	5	8	7	1
hek293_B_test	1:117402186-117414831	NM_006699	NM_006699	1	1	117402185	117402441	+	256	15	26	14	12
hek293_B_test	1:117402186-117414831	NM_006699	NM_006699	2	1	117405548	117405645	+	97	14	24	14	10
hek293_B_test	1:117402186-117414831	NM_006699	NM_006699	3	1	117414712	117414831	+	119	15	27	18	9
hek293_B_test	5:69174877-69175537	NM_031966	NM_031966	5	5	69174876	69175113	+	237	4	14	10	4
hek293_B_test	5:69174877-69175537	NM_031966	NM_031966	6	5	69175396	69175537	+	141	4	10	7	3
hek293_B_test	1:31915895-31919658	NM_001195100	NM_001195101,NM_001195100,NM_080391	2	1	31915894	31915987	-	93	14	24	16	8
hek293_B_test	1:31915895-31919658	NM_001195100	NM_001195101,NM_001195100,NM_080391	3	1	31918969	31919658	-	689	14	43	25	18
hek293_B_test	2:207976651-207977586	NM_001080475	NM_001080475	5	2	207976650	207977586	-	936	5	18	8	10
hek293_B_test	1:247155566-247159813	NM_001297568	NM_001297568,NM_001297569,NM_001297567,NM_003431,NM_001243740	0	1	247154988	247157403	-	2415	6	16	7	9
hek293_B_test	1:247155566-247159813	NM_001297568	NM_001297568,NM_001297569,NM_001297567,NM_003431,NM_001243740	1	1	247159005	247159066	-	61	3	7	3	4
hek293_B_test	1:247155566-247159813	NM_001297568	NM_001297568,NM_001297569,NM_001297567,NM_003431,NM_001243740	2	1	247159686	247159813	-	127	6	11	5	6
hek293_B_test	10:12081472-12091684	NM_018706	NM_018706	1	10	12081471	12081627	+	156	4	7	4	3
hek293_B_test	10:12081472-12091684	NM_018706	NM_018706	2	10	12084539	12084751	+	212	2	2	0	2
hek293_B_test	10:12081472-12091684	NM_018706	NM_018706	3	10	12087534	12087729	+	195	4	6	4	2
hek293_B_test	10:12081472-12091684	NM_018706	NM_018706	4	0	0	0	0	0	0	0	0	0
hek293_B_test	10:12081472-12091684	NM_018706	NM_018706	5	10	12091512	12091684	+	172	4	8	6	2
hek293_B_test	5:94643273-94654752	NM_032290	NM_032290	4	5	94643272	94643435	+	163	5	9	2	7
hek293_B_test	5:94643273-94654752	NM_032290	NM_032290	5	5	94649453	94649597	+	144	4	8	2	6
hek293_B_test	5:94643273-94654752	NM_032290	NM_032290	6	5	94651701	94651845	+	144	3	3	3	0
hek293_B_test	5:94643273-94654752	NM_032290	NM_032290	7	5	94653271	94653421	+	150	4	6	4	2
hek293_B_test	5:94643273-94654752	NM_032290	NM_032290	8	5	94654629	94654752	+	123	5	7	2	5
hek293_B_test	7:100023419-100024307	NM_001287054	NM_003439,NM_001287054	2	7	100023418	100023461	+	43	16	24	11	13
hek293_B_test	7:100023419-100024307	NM_001287054	NM_003439,NM_001287054	3	7	100023551	100023932	+	381	16	36	19	17
hek293_B_test	7:100023419-100024307	NM_001287054	NM_003439,NM_001287054	4	7	100024153	100024307	+	154	16	22	11	11
hek293_B_test	1:224952670-225007544	NM_001373	NM_144989,NM_001373,NM_001145154	1	1	224952669	224952779	+	110	5	7	2	5
hek293_B_test	1:224952670-225007544	NM_001373	NM_144989,NM_001373,NM_001145154	2	1	224954958	224955098	+	140	4	7	2	5
hek293_B_test	1:224952670-225007544	NM_001373	NM_144989,NM_001373,NM_001145154	3	1	224960152	224960302	+	150	1	1	0	1
hek293_B_test	1:224952670-225007544	NM_001373	NM_144989,NM_001373,NM_001145154	4	1	224964478	224964609	+	131	1	1	0	1
hek293_B_test	1:224952670-225007544	NM_001373	NM_144989,NM_001373,NM_001145154	5	1	224967430	224967583	+	153	1	1	1	0
hek293_B_test	1:224952670-225007544	NM_001373	NM_144989,NM_001373,NM_001145154	6	1	224968758	224968874	+	116	3	3	3	0
hek293_B_test	1:224952670-225007544	NM_001373	NM_144989,NM_001373,NM_001145154	7	1	224974090	224974153	+	63	2	2	2	0
hek293_B_test	1:224952670-225007544	NM_001373	NM_144989,NM_001373,NM_001145154	8	1	225002782	225002927	+	145	2	3	2	1
hek293_B_test	1:224952670-225007544	NM_001373	NM_144989,NM_001373,NM_001145154	9	1	225007412	225007544	+	132	5	7	3	4
hek293_B_test	1:22078429-22086866	NM_001039802	NM_001039802,NM_044472,NM_001791	2	1	22078428	22078583	+	155	4	8	4	4
hek293_B_test	1:22078429-22086866	NM_001039802	NM_001039802,NM_044472,NM_001791	3	1	22081721	22081794	+	73	4	10	4	6
hek293_B_test	1:22078429-22086866	NM_001039802	NM_001039802,NM_044472,NM_001791	4	1	22086438	22086548	+	110	4	4	2	2
hek293_B_test	1:22078429-22086866	NM_001039802	NM_001039802,NM_044472,NM_001791	5	1	22086668	22086866	+	198	4	8	4	4
hek293_B_test	20:35714185-35725155	NM_184234	NR_040723,NR_040722,NM_184234,NM_004902,NR_040724,NM_001242600,NM_001242599	6	20	35714184	35714389	-	205	8	13	9	4
hek293_B_test	20:35714185-35725155	NM_184234	NR_040723,NR_040722,NM_184234,NM_004902,NR_040724,NM_001242600,NM_001242599	7	20	35716739	35716805	-	66	5	6	3	3
hek293_B_test	20:35714185-35725155	NM_184234	NR_040723,NR_040722,NM_184234,NM_004902,NR_040724,NM_001242600,NM_001242599	8	20	35721739	35721877	-	138	6	6	1	5
hek293_B_test	20:35714185-35725155	NM_184234	NR_040723,NR_040722,NM_184234,NM_004902,NR_040724,NM_001242600,NM_001242599	9	20	35724569	35724722	-	153	8	15	11	4
hek293_B_test	20:35714185-35725155	NM_184234	NR_040723,NR_040722,NM_184234,NM_004902,NR_040724,NM_001242600,NM_001242599	10	20	35725037	35725155	-	118	8	15	12	3
hek293_B_test	10:124942457-124943307	NM_017580	NM_017580	0	10	124942122	124943307	+	1185	24	91	51	40
hek293_B_test	10:5773842-5800705	NM_001494	NM_001115156,NM_001494	4	10	5773841	5773941	-	100	5	8	1	7
hek293_B_test	10:5773842-5800705	NM_001494	NM_001115156,NM_001494	5	10	5785141	5785273	-	132	2	4	0	4
hek293_B_test	10:5773842-5800705	NM_001494	NM_001115156,NM_001494	6	10	5785851	5786050	-	199	3	3	3	0
hek293_B_test	10:5773842-5800705	NM_001494	NM_001115156,NM_001494	7	10	5794884	5795019	-	135	4	4	4	0
hek293_B_test	10:5773842-5800705	NM_001494	NM_001115156,NM_001494	8	10	5796762	5796862	-	100	5	12	6	6
hek293_B_test	10:5773842-5800705	NM_001494	NM_001115156,NM_001494	9	10	5800597	5800705	-	108	5	11	3	8
hek293_B_test	6:79042843-79060818	NM_017934	NM_017934	32	6	79025942	79026164	-	222	1	1	1	0
hek293_B_test	6:79042843-79060818	NM_017934	NM_017934	33	6	79042842	79043003	-	161	7	14	6	8
hek293_B_test	6:79042843-79060818	NM_017934	NM_017934	34	6	79060477	79060576	-	99	7	18	8	10
hek293_B_test	6:79042843-79060818	NM_017934	NM_017934	35	6	79060667	79060818	-	151	7	16	6	10
hek293_B_test	8:18765449-18804898	NM_015310	NM_015310,NM_206909	7	8	18765448	18765538	-	90	6	9	4	5
hek293_B_test	8:18765449-18804898	NM_015310	NM_015310,NM_206909	8	8	18799294	18799353	-	59	3	5	2	3
hek293_B_test	8:18765449-18804898	NM_015310	NM_015310,NM_206909	9	8	18801269	18801382	-	113	4	7	4	3
hek293_B_test	8:18765449-18804898	NM_015310	NM_015310,NM_206909	10	8	18804521	18804602	-	81	3	5	3	2
hek293_B_test	8:18765449-18804898	NM_015310	NM_015310,NM_206909	11	8	18804703	18804898	-	195	6	11	6	5
hek293_B_test	7:122113118-122133741	NM_005763	NM_005763	13	7	122113117	122113229	-	112	5	8	3	5
hek293_B_test	7:122113118-122133741	NM_005763	NM_005763	14	7	122113597	122113720	-	123	3	4	0	4
hek293_B_test	7:122113118-122133741	NM_005763	NM_005763	15	7	122115073	122115222	-	149	1	1	0	1
hek293_B_test	7:122113118-122133741	NM_005763	NM_005763	16	7	122116632	122116760	-	128	1	1	0	1
hek293_B_test	7:122113118-122133741	NM_005763	NM_005763	17	0	0	0	0	0	0	0	0	0
hek293_B_test	7:122113118-122133741	NM_005763	NM_005763	18	0	0	0	0	0	0	0	0	0
hek293_B_test	7:122113118-122133741	NM_005763	NM_005763	19	0	0	0	0	0	0	0	0	0
hek293_B_test	7:122113118-122133741	NM_005763	NM_005763	20	0	0	0	0	0	0	0	0	0
hek293_B_test	7:122113118-122133741	NM_005763	NM_005763	21	7	122129360	122129537	-	177	1	1	1	0
hek293_B_test	7:122113118-122133741	NM_005763	NM_005763	22	7	122133516	122133741	-	225	5	10	7	3
hek293_B_test	14:99458279-99465813	NM_199123	NM_199123,NM_032233	3	14	99458278	99458535	-	257	42	73	37	36
hek293_B_test	14:99458279-99465813	NM_199123	NM_199123,NM_032233	4	14	99459112	99459185	-	73	26	26	12	14
hek293_B_test	14:99458279-99465813	NM_199123	NM_199123,NM_032233	5	14	99461191	99461340	-	149	34	40	23	17
hek293_B_test	14:99458279-99465813	NM_199123	NM_199123,NM_032233	6	14	99463485	99463578	-	93	36	61	34	27
hek293_B_test	14:99458279-99465813	NM_199123	NM_199123,NM_032233	7	14	99465702	99465813	-	111	42	70	37	33
hek293_B_test	11:130260856-130261929	NM_014155	NM_014155,NM_001301098,NM_001301099	4	11	130260855	130261929	-	1074	11	37	17	20
hek293_B_test	6:47283938-47286595	NM_014452	NM_014452	3	6	47283937	47284432	-	495	6	10	1	9
hek293_B_test	6:47283938-47286595	NM_014452	NM_014452	4	6	47285943	47286595	-	652	6	12	6	6
hek293_B_test	22:50372020-50394135	NM_001242898	NM_001242898,NM_001242899,NM_001242900,NM_014678	1	22	50372019	50372150	+	131	7	10	3	7
hek293_B_test	22:50372020-50394135	NM_001242898	NM_001242898,NM_001242899,NM_001242900,NM_014678	2	22	50393892	50394135	+	243	7	13	5	8
hek293_B_test	1:155438327-155459898	NM_018489	NM_018489	23	1	155438326	155439068	-	742	6	20	12	8
hek293_B_test	1:155438327-155459898	NM_018489	NM_018489	24	1	155459796	155459898	-	102	6	10	7	3
