Transcript	circles	same_start	same_end	overlapping	within
NM_005813	2:37316237-37317179	.	.	.	.
NM_005819	1:180984677-180993425	.	.	.	.
NM_139241	12:32598497-32601423	.	.	.	.
NM_001039650	13:19851355-19852190	.	.	.	.
NM_013255	7:131375424-131399433,7:131387120-131399433	.	7:131375424-131399433|7:131387120-131399433,	.	.
NM_001166693	4:87046166-87047594	.	.	.	.
NM_001289074	10:94588229-94594854	.	.	.	.
NR_026559	10:132347984-132355886	.	.	.	.
NM_152446	14:80743075-80778046	.	.	.	.
NM_005499	19:34430576-34434968,19:34430576-34467014,19:34431861-34467014,19:34450265-34464131,19:34451981-34464131,19:34451981-34467014	19:34430576-34434968|19:34430576-34467014,19:34451981-34467014|19:34451981-34464131,	19:34450265-34464131|19:34451981-34464131,19:34430576-34467014|19:34451981-34467014|19:34431861-34467014,	19:34430576-34434968|19:34431861-34467014,19:34450265-34464131|19:34451981-34467014,	19:34450265-34464131|19:34430576-34467014|19:34451981-34464131,19:34450265-34464131|19:34451981-34464131|19:34431861-34467014,
NM_001127500	7:116699071-116700284	.	.	.	.
NM_031371	1:235240313-235260752	.	.	.	.
NM_003638	10:15592225-15608290	.	.	.	.
NM_001286210	1:180984677-180993425	.	.	.	.
NM_001184748	11:117152441-117163892	.	.	.	.
NM_001184747	11:117152441-117163892	.	.	.	.
NM_001184746	11:117152441-117163892	.	.	.	.
NM_001257138	20:34470048-34492597	.	.	.	.
NM_001197240	6:26385015-26388294	.	.	.	.
NM_018449	9:33953285-33963791,9:33986760-34017189	.	.	.	.
NM_001257137	20:34470048-34492597	.	.	.	.
NM_173797	5:79640851-79669028	.	.	.	.
NM_018662	1:231795242-231818517	.	.	.	.
NM_152994	2:48451008-48465642,2:48498493-48511468	.	.	.	.
NM_152227	20:17947486-17957037	.	.	.	.
NM_003574	18:9931810-9937066,18:9931810-9950568	18:9931810-9937066|18:9931810-9950568,	.	.	.
NM_001242869	13:77719532-77753358,13:77744283-77753358	.	13:77744283-77753358|13:77719532-77753358,	.	.
NM_001242868	13:77719532-77753358,13:77744283-77753358	.	13:77744283-77753358|13:77719532-77753358,	.	.
NM_001278603	4:76134175-76144473	.	.	.	.
NM_001278604	4:128074460-128077962	.	.	.	.
NM_080666	14:63598756-63599973	.	.	.	.
NM_001145418	22:28296198-28297852	.	.	.	.
NM_001130913	16:31722626-31723353	.	.	.	.
NM_001277155	1:235480054-235494828	.	.	.	.
NM_012327	18:62072673-62095950	.	.	.	.
NM_014947	1:42265115-42278784	.	.	.	.
NM_014787	1:65364635-65366196	.	.	.	.
NM_001143788	12:42374863-42398994	.	.	.	.
NM_001143789	12:42374863-42398994	.	.	.	.
NM_015097	3:33684359-33696933	.	.	.	.
NM_015092	16:18834892-18845651,16:18841565-18845651	.	16:18834892-18845651|16:18841565-18845651,	.	.
NM_001143787	12:42374863-42398994	.	.	.	.
NM_018062	2:58159650-58165874,2:58221942-58232112	.	.	.	.
NM_018063	10:94588229-94594854	.	.	.	.
NM_016824	10:110124017-110130486	.	.	.	.
NM_174890	10:45639816-45663842	.	.	.	.
NM_001791	1:22078429-22086866	.	.	.	.
NM_016046	10:97437191-97437750	.	.	.	.
NM_138270	X:77633207-77664778,X:77681520-77685006	.	.	.	.
NM_005109	3:38221578-38230430	.	.	.	.
NM_001001974	10:122392303-122424959	.	.	.	.
NM_001256864	1:65364635-65366196	.	.	.	.
NM_001256865	1:65364635-65366196	.	.	.	.
NM_015358	21:36338779-36344707	.	.	.	.
NM_001160103	14:88575840-88610940	.	.	.	.
NM_001173	14:32090502-32094386,14:32090502-32117287	14:32090502-32117287|14:32090502-32094386,	.	.	.
NM_004671	18:46890580-46903635	.	.	.	.
NM_001276282	10:115120185-115165645,10:115120185-115171292	10:115120185-115165645|10:115120185-115171292,	.	.	.
NM_133464	9:111527268-111534353	.	.	.	.
NM_133465	9:112574057-112575251	.	.	.	.
NM_006903	4:105424196-105456745	.	.	.	.
NM_001286699	9:4860125-4860901	.	.	.	.
NM_020245	6:158282263-158314268,6:158312051-158314268	.	6:158312051-158314268|6:158282263-158314268,	.	.
NM_001287498	7:140334634-140337349	.	.	.	.
NM_016316	2:99412731-99435941,2:99449336-99464985	.	.	.	.
NM_044472	1:22078429-22086866	.	.	.	.
NM_017794	9:20715322-20789608,9:20819796-20823115,9:20923660-20933103	.	.	.	.
NM_032816	19:32899857-32918339	.	.	.	.
NM_001258316	3:172760161-172783909	.	.	.	.
NM_001284333	17:62536170-62565137	.	.	.	.
NM_001031812	5:123545417-123557564	.	.	.	.
NM_001172222	1:41070595-41075451,1:41113283-41143112	.	.	.	.
NM_001159969	1:51399032-51409696,1:51402435-51408332	.	.	.	1:51402435-51408332|1:51399032-51409696,
NM_181471	7:74239938-74249220	.	.	.	.
NM_182923	14:103669511-103677523	.	.	.	.
NM_024946	16:57164001-57173869	.	.	.	.
